auxcosp,descr,unidad,grupplat
14.1146278,MELANZANE ALLA PARMIGIANA,ORDEN,A5
24.7953419,CARPACCIO DI SALMONE AFFUMICAT,ORDEN,A5
37.424911,CARPACCIO DI SALMONE,ORDEN,A11
63.1905766,COZZE AL VINO BIANCO,ORDEN,A5
61.1630454,CALAMARI GRATINATI,ORDEN,A5
29.7616546,INSALATA CAPRESE ****,ORDEN,A5
21.9549829,INSALATA LATTUGA E FRUTTA,ORDEN,A12
15.9771665,IL CLASSICO MINESTRONE,ORDEN,A13
47.014745,MINESTRA DI PESCE,ORDEN,A5
62.9372622,LASA***,ORDEN,A5
30.1473418,CANNELLONI RIPIENI,ORDEN,A5
38.0512049,TORTELLINI AL PROSCIUTTO COTTO,ORDEN,A5
35.013038,RAVIOLI AL PESTO LEGGERO,ORDEN,A5
35.5574627,TAGLIATELLE AI FORMAGGI,ORDEN,A14
51.0177656,TAGLIATELLE ALFREDO TARTUFO,ORDEN,A14
17.0752045,SPAGHETTI ALLA CARBONARA,ORDEN,A15
54.4415547,SPAGHETTI AI FRUTTI DI MARE,ORDEN,A15
45.8597965,SPAGHETTI PESTO DI VENTIMIGLIA,ORDEN,A15
52.5748111,GN***,ORDEN,A5
81.521685,RISOTTO AI FUNGHI PORCINI,ORDEN,A5
50.1317763,FILETTO DI PESCE GRATINATO,ORDEN,A5
74.5375782,FILETTO DI SALMONE ALLA LEGNA*,ORDEN,A5
24.8987654,PESCE AL CARTOCCIO,ORDEN,A5
29.9787831,PETTO DI POLLO PARMIGIANA,ORDEN,A5
103.316275,FILETTO PANNA E FUNGHI,ORDEN,A5
92.9878026,FILETTO AL GORGONZOLA,ORDEN,A5
81.9460032,SALTIMBOCCA ALLA ROMANA,ORDEN,A5
181.3479974,LA COSTATA DI MANZO,ORDEN,A18
35.14487,PIZZA MARGHERITA,ORDEN,A19
41.8868221,PIZZA AL SALAME,ORDEN,A5
75.9668254,PIZZA CAPRICCIOSA,ORDEN,A5
64.7870988,PIZZA FRUTTI DI MARE,ORDEN,A5
64.6148208,PIZZA AI 4 FORMAGGI,ORDEN,A19
18.9793344,TIRAMISU,ORDEN,A20
7.6922807,PROFITEROLES,ORDEN,A20
10.4308757,DIPLOMATICO,ORDEN,A5
0.0,SEGUNDO TIEMPO,ORDEN,AS
0.0,TERCER TIEMPO,ORDEN,AS
30.4346642,SPAGHETTI ALLA BOLOGNESE,ORDEN,A15
16.4645781,SPAGHETTI AGLIO OLIO,ORDEN,A15
46.4379645,RISOTTO ALLA MILANESE,ORDEN,A5
23.3257631,TAGLIATELLE ALLA CARBONARA,ORDEN,A5
52.0558881,TAGLIATELLE FRUTTI DI MARE,ORDEN,A5
36.9033951,TAGLIATELLE AL PESTO,ORDEN,A5
16.5979693,TAGLIATELLE ALLA BOLOGNESA,ORDEN,A5
15.0226459,TAGLIATELLE AGLIO OLEO PEPER,ORDEN,A5
26.222608,APPLETON ESTATE COPA,COPA,B1
9.9782569,LGO FLOR DE CAÑA 12,COPA,B191
11.6441481,DON RAMON COPA,COPA,B8
11.6442066,LGO DON RAMON,COPA,B8
17.6532799,BACARDI AÑEJO COPA,COPA,B1
16.6341799,BACARDI BLANCO COPA,COPA,B1
34.4644896,LGO LUNA AZUL BLANCO,COPA,B191
19.5117399,BACARDI SOLERA COPA,COPA,B1
10.2581958,CAPITAIN MORGAN COPA,COPA,B1
92.2426166,LGO MONTELOBOS ENSAMBLE,COPA,B191
18.3241835,RUM CHATA COPA,COPA,B11
25.599968,HAVANA 7 AÑOS COPA,COPA,B1
19.6957799,MALIBU COPA,COPA,B0
19.4016599,MATUSALEM CLASICO COPA,COPA,B1
25.6234718,MATUSALEM GRAN RESERVA COPA,COPA,B1
0.0,LGO FLOR DE CAÑA 4 EXTRA DRY,COPA,B191
18.1810318,MATUSALEM PLATINO,COPA,B1
46.8310718,ZACAPA 23 COPA,COPA,B1
135.9515861,ZACAPA XO COPA,COPA,B1
57.9033697,CARDENAL MENDOZA COPA,COPA,B2
43.126725,CARLOS I COPA,COPA,B2
52.6530697,GRAN DUQUE DE ALBA COPA,COPA,B2
9.2291828,***FUNDADOR COPA,COPA,B0
0.770005,***LEPANTO COPA,COPA,B0
20.203425,MAGNO COPA,COPA,B2
10.2963497,***TERRY COPA,COPA,B0
23.0733697,TORRES 10 COPA,COPA,B2
51.8280846,TORRES 20 COPA,COPA,B2
0.770005,***COURVOSIER VS COPA,COPA,B0
40.0228603,***COURVOSIER VSOP COPA,COPA,B0
64.4854399,HENNESSY VSOP COPA,COPA,B3
233.1340199,***HENNESSY XO COPA,COPA,B0
65.5463101,REMY MARTIN VSOP COPA,COPA,B3
247.8050644,REMY MARTIN XO COPA,COPA,B3
0.0,***DOM PERIGNON BOTELLA,BOTELLA,B0
1076.72,MOET BRUT,BOTELLA,B4
1076.72,MOET NECTAR IMPERIAL,BOTELLA,B4
1068.1,MOET NECTAR ROSE,BOTELLA,B4
2450.0,***VEUVE CLICQUOT GRAN DAME BO,BOTELLA,B0
0.0,***VEUVE CLICQUOT BRUT,BOTELLA,B0
0.0,***VEUVE CLICQUOT ROSE BOTELLA,BOTELLA,B0
21.3990619,OPORTO FERREIRA COPA,COPA,B5
17.554677,TIO PEPE COPA,COPA,B5
34.1748401,BEEFEATER COPA,COPA,B0
34.4778482,BOMBAY COPA,COPA,B6
31.5962763,TANQUERAY COPA,COPA,B6
21.6971352,ABSOLUT AZUL COPA,COPA,B7
22.582359,ABSOLUT CITRON COPA,COPA,B7
1.5679322,***ABSOLUT LEVEL COPA,COPA,B0
22.582359,ABSOLUT MANDARIN COPA,COPA,B0
22.582359,ABSOLUT MANGO COPA,COPA,B0
22.8192847,ABSOLUT PERS COPA,COPA,B0
22.582359,ABSOLUT RASPBERRI COPA,COPA,B0
12.5304493,***ABSOLUT RUBY RED COPA,COPA,B0
1.5679322,***BELVEDERE COPA,COPA,B0
41.3739352,CIROC COPA,COPA,B7
40.785119,GREY GOOSE COPA,COPA,B7
4.2137108,***GREY GOOSE CITRUS COPA,COPA,B0
1.5679322,***GREY GOOSE ORANGE COPA,COPA,B0
1.5679322,***GREY GOOSE PEARS COPA,COPA,B0
31.4340552,KETEL ONE COPA,COPA,B7
18.554119,SMIRNOFF COPA,COPA,B7
23.244559,STOLICHNAYA COPA,COPA,B7
1.5679322,***STOLICHNAYA ELIT COPA,COPA,B0
11.3290298,***CAZADORES AÑEJO COPA,COPA,B0
17.4005612,***CAZADORES BLANCO COPA,COPA,B0
19.8310575,CAZADORES REPOSADO COPA,COPA,B0
11.9687683,***CENTENARIO AÑEJO COPA,COPA,B0
21.5561862,CENTENARIO AZUL COPA,COPA,B0
21.6291713,CENTENARIO REPOSADO COPA,COPA,B0
11.0333564,***CENTENARIO ROSANGEL COPA,COPA,B0
37.6067415,CUERVO 1800 AÑEJO COPA,COPA,B8
11.0333564,***CUERVO 1800 PLATA COPA,COPA,B0
24.0836095,***CUERVO 1800 REPOSADO COPA,COPA,B0
23.6209098,CUERVO TRADICIONAL REP COPA,COPA,B8
112.3946764,DON JULIO 1942 COPA,COPA,B8
39.4411215,DON JULIO AÑEJO COPA,COPA,B8
30.1907164,DON JULIO BLANCO COPA,COPA,B8
32.8035831,DON JULIO REPOSADO COPA,COPA,B8
26.866567,HERRADURA AÑEJO COPA,COPA,B0
31.3680564,HERRADURA BLANCO COPA,COPA,B8
